,id,course,enroll
2639,U_6730724,C_course-v1:TsinghuaX+30240243X+sp,2017-03-01 20:36:00
2640,U_6730724,C_course-v1:UST+UST001+sp,2017-03-01 21:09:00
2641,U_237298,C_course-v1:UQx+Think101x+sp,2017-02-28 18:18:00
2647,U_1103245,C_course-v1:NJU+C1026+2016_T2,2017-01-21 12:01:00
2648,U_1103245,C_course-v1:JXUST+JXUST2016001+2016_T2,2017-03-18 00:07:00
2653,U_1103245,C_course-v1:WUT+1022817X+sp,2017-04-05 19:38:00
2695,U_4440513,C_course-v1:TsinghuaX+00740113_2X+sp,2017-02-27 14:01:00
2726,U_6645555,C_course-v1:TsinghuaX+30240184+sp,2017-02-07 14:00:00
2727,U_6645555,C_course-v1:MITx+6_00_1x+sp,2017-02-07 13:59:00
2744,U_6768790,C_course-v1:TsinghuaX+20120143X+sp,2017-03-16 06:41:00
2765,U_756647,C_course-v1:TsinghuaX+20440333X+sp,2017-04-10 12:30:00
2793,U_6577137,C_course-v1:TsinghuaX+00310222X+sp,2017-02-01 12:39:00
2794,U_6577137,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-01-17 19:32:00
2795,U_6577134,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-02-13 17:53:00
2796,U_6577134,C_course-v1:TsinghuaX+30140393X+sp,2017-02-05 10:34:00
2798,U_6577134,C_course-v1:TsinghuaX+70120073X+sp,2017-01-16 19:58:00
2803,U_5986865,C_course-v1:TsinghuaX+0350161X_2015_T2+sp,2017-05-07 19:06:00
2806,U_5986865,C_course-v1:TsinghuaX+20440333X+sp,2017-04-24 08:32:00
2815,U_1100438,C_course-v1:Tsinghua+20150001+sp,2017-01-12 16:31:00
2817,U_1100438,C_course-v1:TsinghuaX+80590952X+sp,2017-01-12 16:24:00
2826,U_4441560,C_course-v1:TsinghuaX+00740113_1X+sp,2017-02-09 12:27:00
2830,U_4441560,C_course-v1:TsinghuaX+30240184_2X+sp,2017-02-08 12:16:00
2832,U_4441563,C_course-v1:MITx+6_00_1x+sp,2017-03-28 00:43:00
2840,U_4441565,C_course-v1:UQx+Think101x+sp,2017-05-26 01:17:00
2900,U_6807934,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-03-14 19:08:00
2902,U_6807934,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-03-08 15:31:00
2925,U_224167,C_course-v1:AdelaideX+Wine101x+sp,2017-02-05 15:06:00
2935,U_6633509,C_course-v1:TsinghuaX+10421094X_2015_2+sp,2017-02-03 19:41:00
2952,U_149849,C_course-v1:TsinghuaX+80515522X+sp,2017-05-29 07:00:00
2956,U_5773213,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-04-17 22:38:00
2970,U_6519790,C_course-v1:Tsinghuax+30130123X+sp,2017-01-07 22:11:00
2971,U_6519790,C_course-v1:TsinghuaX+70250023X_2015_2+sp,2017-04-17 08:25:00
3051,U_6981549,C_course-v1:TsinghuaX+00740113_2X+sp,2017-04-23 18:11:00
3101,U_7064616,C_course-v1:MITx+6_00_1x+sp,2017-05-29 16:26:00
3102,U_7064616,C_course-v1:TsinghuaX+01030132X+sp,2017-05-29 14:00:00
3103,U_7064616,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2017-05-29 17:45:00
3131,U_4815227,C_course-v1:TsinghuaX+34100325_X+sp,2017-05-27 14:48:00
3135,U_4815227,C_course-v1:TsinghuaX+00310222X+sp,2017-05-28 16:34:00
3138,U_4815227,C_course-v1:TsinghuaX+20120143X+sp,2017-05-27 14:38:00
3139,U_4815227,C_course-v1:TsinghuaX+00040132X+sp,2017-05-27 14:18:00
3148,U_6872478,C_course-v1:MITx+6_00_1x+sp,2017-04-20 16:28:00
3175,U_2758582,C_course-v1:ZUELX+B0800280+sp,2017-05-24 14:26:00
3231,U_2232906,C_course-v1:TsinghuaX+30040323X+sp,2017-02-23 20:03:00
3245,U_2642943,C_course-v1:TsinghuaX+60240013X+sp,2017-03-26 18:32:00
3278,U_6899331,C_course-v1:Tsinghua+20150001+sp,2017-04-04 19:23:00
3280,U_6899331,C_course-v1:TsinghuaX+70120073X+sp,2017-03-31 21:43:00
3283,U_6899330,C_course-v1:TsinghuaX+00680082X+sp,2017-04-08 07:29:00
3286,U_6899330,C_course-v1:UQx+Crime101x+sp,2017-04-28 00:09:00
3298,U_3853176,C_course-v1:TsinghuaX+30240184_2X+sp,2017-01-13 11:53:00
3304,U_3853176,C_course-v1:TsinghuaX+60240013X+sp,2017-01-25 15:51:00
3311,U_6932396,C_course-v1:TsinghuaX+20430064X+sp,2017-04-12 17:42:00
3312,U_6932396,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-04-10 12:40:00
3313,U_6932396,C_course-v1:TsinghuaX+20430064_2X+sp,2017-04-23 15:35:00
3333,U_3714914,C_course-v1:TsinghuaX+Thesis2016X+sp,2017-02-08 14:33:00
3365,U_2456365,C_course-v1:AdelaideX+Wine101x+sp,2017-01-20 16:29:00
3381,U_241824,C_course-v1:TsinghuaX+00040132X+sp,2017-03-09 14:26:00
3382,U_241824,C_course-v1:TsinghuaX+70150023X+sp,2017-03-09 14:22:00
3475,U_7050685,C_course-v1:TsinghuaX+70120073X+sp,2017-05-24 04:35:00
3542,U_1540134,C_course-v1:TsinghuaX+30240243X+sp,2017-05-08 20:45:00
3544,U_1540134,C_course-v1:UST+UST001+sp,2017-04-08 22:28:00
3587,U_3066958,C_course-v1:MicrosoftX+Microsoft101+sp,2017-02-09 20:04:00
3601,U_6944754,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-04-15 19:29:00
3610,U_2646638,C_course-v1:TsinghuaX+30240184_2X+sp,2017-03-09 10:10:00
3611,U_2646638,C_course-v1:TsinghuaX+30240184+sp,2017-03-09 09:34:00
3632,U_6909552,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2017-04-05 13:42:00
3634,U_6909552,C_course-v1:TsinghuaX+00690212X+sp,2017-04-05 12:49:00
3643,U_1478068,C_course-v1:UQx+Think101x+sp,2017-05-03 23:33:00
3699,U_6580403,C_course-v1:UQx+Think101x+sp,2017-01-17 15:31:00
3712,U_6989608,C_course-v1:TsinghuaX+00690092X+sp,2017-06-01 17:10:00
3791,U_5323969,C_course-v1:TsinghuaX+20440333X+sp,2017-03-10 00:26:00
3823,U_482232,C_course-v1:JXUST+JXUST2016001+2016_T2,2017-02-27 14:36:00
3824,U_482232,C_course-v1:TsinghuaX+00690092X+sp,2017-02-10 16:05:00
3830,U_1135920,C_course-v1:TsinghuaX+30240184_2X+sp,2017-01-10 19:44:00
3833,U_6943305,C_course-v1:TsinghuaX+30240184+sp,2017-04-26 23:30:00
3865,U_6832340,C_course-v1:TsinghuaX+30240184+sp,2017-03-13 20:39:00
3866,U_6832340,C_course-v1:TsinghuaX+30240243X+sp,2017-03-13 20:31:00
3876,U_506157,C_course-v1:TsinghuaX+30240243X+sp,2017-02-24 11:31:00
3888,U_6166711,C_course-v1:TsinghuaX+00310222X+sp,2017-02-26 22:26:00
3889,U_6166711,C_course-v1:Tsinghua+20150001+sp,2017-02-26 22:26:00
3890,U_6166711,C_course-v1:MITx+15_390_2x+sp,2017-02-26 22:26:00
3891,U_6166711,C_course-v1:TsinghuaX+00680082X+sp,2017-03-17 19:24:00
3929,U_6574098,C_course-v1:TsinghuaX+20120143X+sp,2017-01-15 22:07:00
3948,U_1637951,C_course-v1:TsinghuaX+30240184_2X+sp,2017-04-19 21:34:00
3950,U_1637951,C_course-v1:TsinghuaX+30240243X+sp,2017-04-19 21:46:00
3951,U_1637951,C_course-v1:TsinghuaX+30240184+sp,2017-04-19 21:42:00
3985,U_4581839,C_course-v1:TsinghuaX+60240202X+sp,2017-01-05 15:04:00
4003,U_2991691,C_course-v1:UQx+Think101x+sp,2017-06-07 21:30:00
4037,U_6819937,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-03-10 19:50:00
4067,U_7014209,C_course-v1:Tsinghuax+30130123X+sp,2017-05-10 17:08:00
4105,U_214439,C_course-v1:TsinghuaX+64100033X+SP,2017-03-01 18:13:00
4106,U_214439,C_course-v1:JXUST+JXUST2016001+2016_T2,2017-04-12 00:28:00
4115,U_1938715,C_course-v1:TsinghuaX+00690212X+sp,2017-05-19 16:22:00
4135,U_6675356,C_course-v1:TsinghuaX+34100325_X+sp,2017-02-16 22:01:00
4259,U_160094,C_course-v1:TsinghuaX+64100033X+SP,2017-05-29 11:20:00
4292,U_227851,C_course-v1:MITx+6_00_1x+sp,2017-04-23 20:29:00
4299,U_5176344,C_course-v1:TsinghuaX+30240243X+sp,2017-05-14 22:33:00
4311,U_2978239,C_course-v1:TsinghuaX+60240013X+sp,2017-04-28 12:41:00
4312,U_2978239,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-02-26 12:51:00
4316,U_2978239,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-01-19 22:32:00
4434,U_1092263,C_course-v1:TsinghuaX+00740113_1X+sp,2017-02-11 10:44:00
4437,U_1092263,C_course-v1:TsinghuaX+00740123_X+sp,2017-02-11 22:06:00
4455,U_2833833,C_course-v1:TsinghuaX+60240013X+sp,2017-01-29 01:42:00
4467,U_4452963,C_course-v1:UQx+Crime101x+sp,2017-01-28 16:22:00
4469,U_414275,C_course-v1:TsinghuaX+60240202X+sp,2017-03-05 15:54:00
4470,U_414275,C_course-v1:TsinghuaX+34100325_X+sp,2017-03-21 09:18:00
4477,U_4475329,C_course-v1:MITx+6_00_1x+sp,2017-05-23 07:36:00
4478,U_4475329,C_course-v1:TsinghuaX+34100325_X+sp,2017-05-25 19:52:00
4507,U_4297762,C_course-v1:TsinghuaX+30260112X+sp,2017-03-26 08:30:00
4530,U_1790115,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2017-02-09 20:37:00
4546,U_3078684,C_course-v1:TsinghuaX+30240184+sp,2017-03-23 10:05:00
4559,U_107025,C_course-v1:ZUELX+B0800280+sp,2017-02-21 20:04:00
4567,U_721909,C_course-v1:TsinghuaX+30240184+sp,2017-05-16 01:57:00
4568,U_721909,C_course-v1:TsinghuaX+30240243X+sp,2017-03-16 03:42:00
4569,U_721909,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-03-16 05:12:00
4630,U_4583353,C_course-v1:MITx+6_00_1x+sp,2017-03-29 19:18:00
4632,U_4583353,C_course-v1:Tsinghuax+30130123X+sp,2017-03-11 11:19:00
4673,U_6545112,C_course-v1:MITx+6_00_1x+sp,2017-01-08 19:32:00
4674,U_6545112,C_course-v1:NJU+C1026+2016_T2,2017-01-08 19:43:00
4676,U_6545117,C_course-v1:TsinghuaX+30240184+sp,2017-01-11 16:49:00
4679,U_2789914,C_course-v1:TsinghuaX+20430064X+sp,2017-03-15 15:44:00
4746,U_757588,C_course-v1:TsinghuaX+20430064_2X+sp,2017-03-03 15:26:00
4750,U_757588,C_course-v1:TsinghuaX+20430064X+sp,2017-02-26 21:17:00
4762,U_2809258,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-01-01 22:14:00
4763,U_2809258,C_course-v1:TsinghuaX+00740123_X+sp,2017-03-24 21:03:00
4765,U_2809258,C_course-v1:TsinghuaX+34100325_X+sp,2017-01-05 20:34:00
4766,U_2809258,C_course-v1:TsinghuaX+60240013X+sp,2017-01-05 16:44:00
4768,U_2809258,C_course-v1:MITx+6_00_1x+sp,2017-04-08 15:07:00
4804,U_6907199,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-06-03 17:29:00
4806,U_6139765,C_course-v1:TsinghuaX+30240184_2X+sp,2017-02-22 15:19:00
4807,U_6139765,C_course-v1:TsinghuaX+60240013X+sp,2017-03-13 22:32:00
4875,U_154067,C_course-v1:TsinghuaX+30240184+sp,2017-03-22 22:12:00
4876,U_154067,C_course-v1:TsinghuaX+30240184_2X+sp,2017-03-22 22:12:00
4886,U_71904,C_course-v1:UQx+Crime101x+sp,2017-04-19 19:25:00
4888,U_71904,C_course-v1:UQx+BIOIMG101x+sp,2017-04-19 20:58:00
4905,U_1512421,C_course-v1:HUBU+HU08002X+sp,2017-03-13 20:19:00
4908,U_1512421,C_course-v1:TsinghuaX+00740113_1X+sp,2017-05-08 18:25:00
4909,U_1512421,C_course-v1:NJU+C1026+2016_T2,2017-03-06 00:41:00
